station,Latitude,Longitude,Elevation in web,,Elevation old
ALT ,82.4508,-62.5072,185,masl,195
ASC ,-7.9667,-14.4,85,masl,87
ASK ,23.2625,5.6322,2710,masl,2715
AZR ,38.75,-27.08,19,masl,22
BHD ,-41.4083,174.871,85,masl,90
BKT ,-0.2,100.32,845,masl,875
BMW ,32.2647,-64.8788,30,masl,60
BRW ,71.32,-156.6,11,masl,13
CBA ,55.2,-162.72,21.3,masl,25
CGO ,-40.68,144.68,94,masl,97
CHR ,1.7,-157.1518,0,masl,2
CRZ ,-46.4337,51.8478,197,masl,202
EIC ,-27.15,-109.45,47,masl,55
GMI ,13.386,144.656,0,masl,5
HUN ,46.95,16.65,248,masl,344
ICE ,63.3998,-20.2884,118,masl,123
IZO ,28.3,-16.48,2372.9,masl,2377.9
KEY ,25.67,-80.2,1,masl,3
KUM ,19.52,-154.82,8,masl,3
LEF ,45.93,-90.27,472,masl,868
MHD ,53.33,-9.9,5,masl,10
MID ,28.22,-177.37,4,masl,4
MLO ,19.53,-155.58,3397,masl,3399
NMB ,-23.58,15.03,456,masl,461
NWR ,40.05,-105.63,3523,masl,3526
PAL ,67.97,24.12,565,masl,570
PSA ,-64.92,-64,10,masl,13
RPB ,13.165,-59.432,15,masl,18
SEY ,-4.6824,55.5325,2,masl,5
SGP ,36.62,-97.48,314,masl,374
SHM ,52.72,174.1,23,masl,26
SMO ,-14.25,-170.57,42,masl,44
SPO ,-89.98,-24.8,2810,masl,2821.3
SUM ,72.5962,-38.422,3209.5,masl,3214.54
SYO ,-69,39.575,14,masl,14
TAP ,36.73,126.13,16,masl,21
USH ,-54.8675,-68.4758,12,masl,8
UTA ,39.9018,-113.7181,1327,masl,1332
UUM ,44.4516,111.0956,1007,masl,1012
WIS ,30.8595,34.7809,151,masl,482
WLG ,36.27,100.92,3810,masl,3815
ZEP ,78.9067,11.8883,474,masl,479
