Station,ABP ,ALT ,AMS ,AMY ,AOC ,ASC ,ASK ,AVI ,AZR ,BAL ,BHD ,BKT ,BME ,BMW ,BRW ,BSC ,CBA ,CGO ,CHR ,CIB ,CMO ,CPT ,CRZ ,DRP ,DSI ,EIC ,GMI ,GOZ ,HBA ,HPB ,HSU ,HUN ,ICE ,IZO ,KCO ,KEY ,KUM ,KZD ,KZM ,LEF ,LLB ,LLN ,LMP ,MBC ,MEX ,MHD ,MID ,MKN ,MLO ,NAT ,NMB ,NWR ,OPW ,OXK ,PAL ,PAO ,PSA ,PTA ,RPB ,SDZ ,SEY ,SGI ,SGP ,SHM ,SMO ,SPO ,STC ,STM ,SUM ,SYO ,TAC ,TAP ,THD ,TIK ,USH ,UTA ,UUM ,WIS ,WLG ,WPC ,ZEP 
2018010102,406.0947266,417.5197754,403.3111572,420.4359131,404.7393799,404.9381104,409.1956787,408.3898926,409.2316895,411.2435303,404.2670898,409.324585,410.6778564,410.6778564,412.1540527,415.359375,411.1063232,402.3754883,406.9954834,410.711792,416.6057129,404.3226318,403.4477539,404.6313477,418.1021729,404.5169678,407.1273193,413.6580811,403.9212646,425.7514648,419.3502197,416.9848633,411.1750488,407.6378174,408.0074463,413.6168213,409.0269775,416.0894775,409.2713623,415.5377197,414.081665,411.7299805,410.2600098,416.0106201,408.6088867,410.473877,408.59021,406.503418,407.1402588,406.9465332,407.3890381,409.076416,413.069458,410.5375977,414.9511719,404.4517822,404.3895264,415.7856445,407.8746338,419.1647949,407.4996338,404.1968994,414.3886719,410.8673096,405.8233643,404.0855713,410.5203857,411.8795166,410.4193115,403.9036865,411.1118164,420.4359131,419.3502197,417.6856689,404.2281494,415.9661865,415.4234619,412.40979,408.9200439,407.3712158,411.2677002
2018010105,406.4953613,417.833374,403.3820801,418.8105469,404.7442627,404.9368896,409.0804443,408.3905029,408.9580078,411.3187256,403.1361084,409.3358154,410.4346924,410.4346924,412.2667236,416.1678467,411.0637207,401.7390137,407.0338135,411.0753174,419.4211426,404.2740479,403.4105225,404.6636963,417.6558838,404.5162354,407.0484619,413.838501,403.921875,420.5343018,421.8710938,416.6737061,411.1496582,407.5793457,408.0059814,413.6331787,409.0650635,416.1654053,409.4678955,415.7635498,414.8242188,411.3435059,410.467041,416.4067383,408.6943359,410.4718018,408.819458,406.7143555,407.197998,407.1616211,407.6790771,408.9626465,412.5999756,410.9700928,414.821167,404.4519043,404.4199219,415.6672363,407.87854,415.6881104,407.5683594,404.0603027,415.1571045,410.9309082,405.8024902,404.0882568,410.5447998,412.1583252,410.3962402,403.9041748,411.2038574,418.8105469,421.8710938,418.7618408,404.7331543,417.6507568,415.1201172,412.3548584,410.6312256,407.3580322,411.3737793
2018010108,406.7485352,418.083252,403.4122314,423.439209,404.7513428,404.9498291,409.0054932,408.3887939,408.7930908,411.2939453,404.435791,409.237793,410.5817871,410.5817871,412.0695801,416.097168,411.0577393,402.2861328,407.0891113,411.2585449,422.0618896,404.199707,403.4060059,404.7098389,417.1665039,404.5174561,407.2585449,412.645874,403.9180908,419.1639404,424.104126,416.916626,411.0875244,407.5385742,408.0008545,413.8745117,409.0831299,415.9075928,409.5819092,415.8929443,415.7730713,411.1593018,410.7618408,416.6937256,408.7960205,410.4193115,408.972168,407.1557617,407.2609863,407.2814941,405.0709229,408.9023438,412.501709,411.2957764,414.484375,404.4484863,404.4014893,416.1251221,407.8720703,416.1477051,407.5584717,404.0350342,415.6937256,411.0334473,405.777832,404.0880127,410.5050049,412.2655029,410.394165,403.9121094,411.3741455,423.439209,424.104126,419.3494873,405.0372314,418.7335205,415.1293945,411.8005371,411.7835693,407.3551025,411.4681396
2018010111,406.024292,418.2836914,403.4140625,430.8742676,404.7587891,404.9813232,408.9520264,408.3770752,408.7043457,411.3876953,406.6098633,409.1785889,411.0611572,411.0611572,412.0977783,414.6340332,411.0948486,403.8721924,407.1278076,410.9161377,424.2889404,404.1610107,403.4295654,404.6745605,416.9205322,404.5233154,407.4173584,410.0970459,403.914917,416.7774658,426.008667,417.293335,411.0372314,407.5631104,408.0003662,414.1844482,409.0977783,415.9816895,409.6468506,416.0880127,417.0229492,411.0822754,410.7877197,416.9405518,408.9091797,410.4075928,409.0557861,406.9893799,407.3289795,406.895752,404.3653564,408.8288574,412.4006348,411.5703125,414.2628174,404.446167,404.3205566,417.1099854,407.8533936,419.8068848,407.5913086,404.1182861,415.9095459,411.1660156,405.7619629,404.0875244,410.3404541,412.3544922,410.3953857,403.9193115,411.6322021,430.8742676,426.008667,419.7750244,404.348999,419.6756592,415.4832764,411.5620117,411.5234375,407.3616943,411.5692139
2018010114,404.9887695,418.397583,403.4338379,434.2636719,404.7635498,405.0354004,408.9173584,408.3323975,408.6154785,411.4667969,409.0682373,409.2111816,411.5253906,411.5253906,412.1031494,414.4718018,411.0791016,405.0654297,407.1810303,410.7487793,426.1064453,404.1739502,403.4783936,404.5814209,416.5684814,404.5357666,407.520874,409.6019287,403.9119873,415.6916504,427.4467773,418.7358398,411.0029297,407.6516113,408.0014648,413.6699219,409.1130371,416.2579346,409.7177734,416.5446777,418.5510254,411.3057861,410.2388916,417.1401367,408.9025879,410.451416,409.0773926,406.6207275,407.3956299,406.2446289,404.1884766,408.7593994,412.3597412,411.7835693,414.2380371,404.4418945,404.2667236,419.2835693,407.8175049,423.0072021,407.6799316,404.2696533,415.9558105,411.2733154,405.7487793,404.0845947,410.53479,412.2514648,410.3964844,403.9207764,411.9309082,434.2636719,427.4467773,420.1619873,403.3881836,420.5941162,415.8338623,411.6547852,411.4508057,407.3740234,411.7164307
2018010117,404.3125,418.3902588,403.4666748,435.5689697,404.7634277,405.0716553,408.9643555,408.2626953,408.5311279,411.6567383,410.3125,409.2894287,411.7832031,411.7832031,412.1278076,415.4974365,410.9794922,405.6673584,407.2302246,410.7791748,427.2434082,404.2593994,403.5762939,404.4941406,416.3269043,404.5529785,407.5919189,410.2069092,403.9100342,418.4000244,424.9759521,420.2589111,411.0231934,407.7686768,407.9959717,412.5860596,409.1201172,416.6904297,409.7836914,416.3077393,419.3310547,411.2449951,410.0172119,417.2677002,408.8585205,410.6177979,409.0842285,406.5845947,407.4438477,405.8441162,404.4108887,408.6816406,412.2277832,411.5836182,414.3592529,404.4338379,404.2718506,419.519043,407.7768555,424.7689209,407.7576904,404.3925781,414.5670166,411.3320313,405.739502,404.081665,410.6965332,412.1365967,410.4180908,403.9134521,412.2364502,435.5689697,424.9759521,420.6893311,402.7032471,420.0635986,416.206665,412.0249023,411.444458,407.4136963,411.9395752
2018010120,404.5366211,418.354126,403.5123291,438.4530029,404.7624512,405.0646973,408.9689941,408.2119141,408.4781494,412.0552979,407.4804688,409.6049805,411.8078613,411.8078613,412.1365967,416.2143555,410.9152832,405.095459,407.302124,410.7484131,421.93396,404.3548584,403.6938477,404.4248047,416.3922119,404.5725098,407.626709,410.6407471,403.9093018,419.4245605,418.7384033,420.3936768,411.0523682,407.8621826,407.993042,412.1986084,409.1134033,417.1018066,409.8531494,416.4835205,419.5440674,410.7674561,410.1550293,417.3116455,408.7176514,410.8150635,409.1140137,406.6638184,407.4683838,405.9946289,405.3934326,408.682373,412.4205322,411.3526611,414.5423584,404.4267578,404.3122559,414.9318848,407.7565918,425.6934814,407.8070068,404.454834,413.0330811,411.4165039,405.7337646,404.0792236,410.6072998,412.0994873,410.4752197,403.9030762,412.1224365,438.4530029,418.7384033,421.4542236,402.4139404,414.6439209,416.6097412,412.5574951,411.3221436,407.5452881,412.1412354
2018010123,405.5705566,418.3253174,403.567749,441.0933838,404.7591553,405.0577393,408.8685303,408.2033691,408.4550781,412.6013184,404.7845459,409.5379639,411.8427734,411.8427734,412.0872803,416.4182129,410.8116455,403.4335938,407.3687744,410.7279053,418.5933838,404.4196777,403.803833,404.3826904,416.3967285,404.5917969,407.4650879,410.8928223,403.9067383,417.2227783,415.0357666,420.3122559,411.1151123,407.9174805,407.9918213,412.380249,409.1450195,417.4848633,409.9185791,417.8172607,416.7904053,410.4119873,410.3690186,417.2884521,408.7247314,410.7232666,409.1660156,406.7739258,407.4718018,406.411377,406.3172607,408.8724365,412.4052734,411.6445313,414.6959229,404.4221191,404.3631592,413.0380859,407.7496338,425.567749,407.8284912,404.4593506,412.977417,411.4569092,405.7347412,404.0777588,410.5439453,412.0854492,410.5413818,403.8907471,411.7188721,441.0933838,415.0357666,422.1369629,402.7174072,413.5462646,417.0262451,413.1645508,411.8736572,407.7974854,412.2713623
2018010202,406.1854248,418.3278809,403.6047363,425.4697266,404.7572021,405.0852051,408.6712646,408.2016602,408.4312744,413.267334,403.4846191,409.7642822,412.0450439,412.0450439,412.0125732,416.1077881,410.7784424,402.4140625,407.4395752,410.7779541,419.737915,404.467041,403.8868408,404.3251953,415.994751,404.6113281,407.1395264,411.0037842,403.9036865,414.208252,416.7142334,420.5463867,411.1331787,407.9686279,407.9929199,413.1256104,409.2067871,417.9046631,409.9549561,419.293457,413.7598877,410.2131348,410.5252686,417.1864014,409.013916,410.3724365,409.2130127,406.961792,407.4403076,406.6726074,407.9483643,409.1252441,411.7547607,412.1448975,414.6737061,404.4146729,404.4230957,413.755127,407.7322998,420.439209,407.8459473,404.4285889,414.3487549,411.477417,405.7374268,404.0772705,410.5136719,412.0472412,410.5950928,403.8797607,411.6143799,425.4697266,416.7142334,422.697876,403.6269531,415.7363281,417.3652344,413.8388672,412.6081543,408.0703125,412.302124
2018010205,406.5012207,418.3851318,403.6451416,421.9367676,404.7618408,405.1314697,408.5196533,408.1949463,408.4058838,414.0010986,403.0512695,409.1046143,412.1434326,412.1434326,411.932373,415.7081299,410.8336182,402.3515625,407.5037842,410.8574219,422.3812256,404.4820557,403.9068604,404.2713623,415.4083252,404.6385498,406.9886475,410.9991455,403.9008789,413.6403809,419.8892822,421.2193604,411.1582031,408.050293,407.9958496,413.8624268,409.284668,417.7835693,409.9561768,420.2911377,411.739624,409.9300537,410.5938721,417.0362549,409.2979736,410.1595459,409.2489014,407.1621094,407.3985596,406.8081055,408.3701172,409.4664307,411.4202881,412.2236328,414.5479736,404.399292,404.465332,415.5472412,407.7095947,416.9348145,407.8126221,404.3723145,415.3129883,411.4926758,405.737915,404.0776367,410.4749756,411.9916992,410.6422119,403.8879395,411.824585,421.9367676,419.8892822,423.203125,404.6097412,417.9182129,417.1090088,414.3364258,412.6943359,408.3519287,412.3270264
