Station,ABP ,ALT ,AMS ,AMY ,AOC ,ASC ,ASK ,AVI ,AZR ,BAL ,BHD ,BKT ,BME ,BMW ,BRW ,BSC ,CBA ,CGO ,CHR ,CIB ,CMO ,CPT ,CRZ ,DRP ,DSI ,EIC ,GMI ,GOZ ,HBA ,HPB ,HSU ,HUN ,ICE ,IZO ,KCO ,KEY ,KUM ,KZD ,KZM ,LEF ,LLB ,LLN ,LMP ,MBC ,MEX ,MHD ,MID ,MKN ,MLO ,NAT ,NMB ,NWR ,OPW ,OXK ,PAL ,PAO ,PSA ,PTA ,RPB ,SDZ ,SEY ,SGI ,SGP ,SHM ,SMO ,SPO ,STC ,STM ,SUM ,SYO ,TAC ,TAP ,THD ,TIK ,USH ,UTA ,UUM ,WIS ,WLG ,WPC ,ZEP 
2018010100,406132.0938,410642,402924.6875,416725.2188,404922.0938,405034.7813,407913.875,407390.375,408607.2813,409827.2188,403726.375,412843.75,410227.4688,410227.4688,409966.5,409981.5,409151.6563,403037.8125,406504.1875,409248.5938,409114.1563,404458.0938,403751.5,404087.5313,412619.4688,404575.8438,407126.375,408343.4375,403711.75,409337.125,410781,409316.625,409873.5313,407671,408779.5625,411246.8125,408188.8438,411001.0313,409765.25,410672.7188,410460.8438,410454.5625,408559.2813,410252.0938,407689.9063,409296.6563,407432.625,406607.3125,407543.5938,406838.2188,404579.3438,410072.125,409961.8125,410233.9688,411706.75,404012.5,403947.4063,413628.2188,407567.5313,411611.75,407667.0938,403443.5,410974.7813,409452.0625,405851.4063,403693.9375,409258.375,409452.0938,409445.625,403666.2188,409664.4375,416725.2188,410058,412234.8125,403175.9063,411438.8438,412705.625,411374.9063,408955.0313,407108.0313,409744.2813
2018010101,407751.0313,410640.3438,402668.25,420066.6875,404921.625,405050.4375,407921.125,407416.625,408635.4063,409867.6563,402996.1563,412966.4688,410099.5938,410099.5938,409956.1563,410309.0938,409201.4375,401895.5625,406629.3125,409119.25,409581.1875,404254,403751.5313,404170.8438,412535.9688,404575.875,406824.8438,408460.5,403712.0625,409837.125,411086.5313,409636.7813,409971.875,407699.5313,408814.9375,411849.4063,408192.4688,411022.6563,409822.8125,410855.5625,410502.6875,410510.9063,408622.7188,410341.8125,407799.5313,409456.625,407326.625,406657.1563,407569.5625,407899.2813,404636.5625,410339.9375,409961.0938,409970.0313,411562.75,404001.125,403941.0625,413828.3438,407590,412214.0625,407764.5938,403450.1563,411210.5,409523.0938,405853.7188,403695.5313,409258.1875,409547.0313,409438.125,403673.375,409964.4063,420066.6875,410124.2188,412391.6563,403097.25,411637.7188,412734.25,411644.5938,409016.4688,407080.0313,409739
2018010102,406850.0313,410631.4063,402815,415986.25,404902.7813,405034.7188,407903.3438,407391.5313,408609.6563,409901.9375,403097.125,413320.4063,409877.9688,409877.9688,409913.4063,410119.1875,409189.5313,402364.7813,406528.0625,409201.5,409833.4063,404115.3438,403751.9688,404081.7813,412538.5938,404580.75,406699.9375,408353.5625,403712.75,409485.5,411724.1875,409378.2188,409952.0938,407711.5313,408800.9688,411980.3438,408172.5625,411012.9063,410049.0938,410878.375,410485.3125,410429.625,408653.5625,410462.75,407912.75,409281.2813,407417.6563,406771.625,407572.75,407120.75,404640.6875,410350.7813,409863.0313,410073.2813,411467.3438,404007.8438,403955.6875,413848.3125,407573.0313,411899.0625,407613.1875,403524.6563,411451.5,409450.2813,405847.9063,403695.0625,409257.0313,409621.5313,409428.9063,403685.8125,409645.125,415986.25,410786.7188,412186,403567.0313,411760.125,412776.75,411546.3125,409126.5,407069.9063,409753.4375
2018010103,406850.4688,410629.9375,402871.625,414810.5625,404894.7813,405033.7188,407891.4063,407394.25,408608.0313,409966.0625,402480.2188,413835.5938,409712.6563,409712.6563,409877.7813,410055.2813,409166.25,402168.1563,406533.875,409159.6875,409814,404099.8125,403750.8125,404065.1563,412490.7813,404582.7188,406489.5,408380.5,403713.1875,409483.3125,412148.9375,409351.7813,409980.7813,407715.6563,408800.2813,412093.9688,408173.0625,411002.875,410114.75,410996.5938,410586.4063,410363.9063,408675.0938,410571.5313,407963.6875,409296.8438,407452.6563,406867.1875,407584.8125,407277.2813,404649.1875,410239.625,409882.0625,410107.9688,411419.25,404004.3125,403965.0313,414176.125,407570.8125,411763.125,407598.0313,403619.2188,411661,409476.75,405845,403694.125,409255.8438,409669.875,409423.0938,403688.0313,409648.0625,414810.5625,411417.1563,412326.125,403808,411903.4063,412811.8125,411587.1563,409237.2813,407061,409747.1563
2018010104,407008.6875,410643.9375,402914.9375,414101.4063,404887.7188,405025.6563,407885.1563,407399.5313,408586.1875,410046.25,401992.5,415086.0313,409590.375,409590.375,409842.2813,409979,409137.4063,402271.0938,406540.0938,409105,409901.75,404107.4688,403748.625,404060.875,412457.25,404584.3438,406231.7188,408414.5625,403713.1563,409603.2188,412347.9688,409384.3438,409980.5625,407713.3125,408798.2188,412194.8438,408179.7188,411001.125,410118.0625,411036.2188,410696.5938,410279.8125,408697.4688,410664.9688,407932.8125,409331.125,407479.4063,406953.7813,407594.6875,407250.5938,404660.625,409966.0313,409998.4063,410083.4063,411362.8438,404001,403974.875,413669.4688,407570.75,411723.6563,407586.5,403714.7188,411805.1875,409506.2188,405841.75,403693.1875,409257,409719.0938,409418.7813,403688.9375,409677,414101.4063,411999.5313,412453.2188,404099.4688,412171.9688,412846.0938,411635.75,409276.6563,407058.125,409734.4375
2018010105,407073.0313,410677.1563,402988.9063,413850.4688,404881.9688,405016.6875,407881.9688,407400.7813,408560.3125,410167.875,402022.2813,413988,409484.8125,409484.8125,409808.3438,409896.4063,409100.6563,402214.8125,406551.1875,409111.4688,410050.4688,404154.9375,403745.75,404061.0625,412408.8125,404584.625,406226.25,408460.4063,403713.5938,409804.75,412393.25,409426.2188,409989.75,407705.8125,408791.5,412193.625,408195.7813,410938.3438,410147.375,410997.0938,410780.7188,410222.5938,408707.6563,410740.1563,407877.9063,409379.625,407518.875,407041.0625,407608.4688,407157.1875,404642.0938,409686.6875,410168.5313,410040.625,411351.2813,403994.75,403983.25,413156.375,407566.3125,411730.9375,407539.9375,403795.4688,411899.5,409560.6563,405833.5625,403692.9688,409261.0938,409783.8125,409415.2813,403686.4063,409723.4375,413850.4688,412277.125,412541.8125,404214.5625,412266.9375,412889.6875,411680.6875,409264.5313,407053.4375,409713.4688
2018010106,407137.5,410724.6875,403048.0938,413681.9375,404877.625,405012.4063,407881.5625,407403.1563,408519.5625,410271.375,402119.5313,413984.7813,409428.0938,409428.0938,409785.375,409831.9375,409038.1563,402209.2188,406563.25,409179.6875,410236.875,404189.5938,403742.5,404050.5938,412335.7188,404581.375,406227,408512.2813,403713.7813,409996.1563,412342.3438,409478.1875,409996.6563,407698.375,408787.8125,412210.9063,408215.8125,410966.5313,410179.3438,410926.6563,410817.3438,410238.9063,408725.4688,410805,407814.8438,409428.8438,407569.375,407130.5938,407627.1563,407058.125,404646.0625,409579.0625,410218.3438,410040.0625,411304.875,403989.625,403992.5625,412777.2813,407565.2188,411874.5313,407516.5,403861.6875,411974.9375,409612.0625,405824.75,403693.0625,409279.9375,409868.75,409413.9688,403688.6563,409736.1875,413681.9375,412689.1563,412603.7188,404276.8438,412327.5938,412944.7813,411755.5938,409333.0313,407051.5938,409702.8125
2018010107,407209.0313,410774.2188,403085.375,413564,404870.5625,405010.75,407884.9688,407405.6875,408462.6563,410299.5,402295.5313,413821.9688,409414.7813,409414.7813,409767.4063,409796.1563,408956.4688,402203.4375,406576.1563,409272.0938,410477.5313,404214.5,403735.3438,404033.125,412236.5625,404575.9063,406229.0313,408575.5625,403714.5,410106.875,412255.5625,409508.5625,409998.3438,407693.2813,408784.4063,412218.125,408238.875,411024,410186.8438,410856.6875,410825.5313,410188.5313,408761.7813,410858.5938,407736.375,409450.25,407623.0313,407216.5,407647.3125,407058.2188,404602.625,409567.625,410168.5938,410073.125,411355.5938,403986.6875,404001.25,412459.1875,407563.9375,411915.6563,407496.1875,403919.3438,412031.4063,409662.2813,405819.2188,403692.875,409318,409937.8125,409413.8125,403686.5313,409737.875,413564,412922.9063,412699.3438,404245.5,412365.3438,412981.2813,411862.0938,409336.4688,407051.0625,409691.1563
2018010108,407593.375,410821.9688,403123.3438,413677.3125,404865.4063,405002.8438,407890.4063,407409.2188,408394.8125,410236.1875,403080.5625,413369.1563,409463.7188,409463.7188,409755.7813,409705.9375,408858.3125,402710.0938,406589.2813,409400.5625,410814.5313,404346.5,403725.375,404037.0938,412099.3438,404567.4063,406689.5625,408637.1563,403714.8438,410180.5938,412152.6875,409596.9375,409989.875,407693.3125,408781.25,412189.0313,408263.5938,411085.3125,410197.875,410793.9063,410827.875,410132.1563,408840.9063,410902.25,407650.25,409460.1875,407697.9063,407294.8438,407662.5938,407047.7188,404520.875,409557.5938,410086.5313,410161.1563,411374.7188,403980.6563,404016.875,412196.4688,407560.6563,412037.9688,407426.5938,403974.375,412193.5,409715.5938,405812.5313,403692.6563,409360.25,409973.6563,409414.7188,403684.5625,409805.7813,413677.3125,413050.4688,412778.25,404272.3125,412380.75,413056.4688,411910.4375,409306.75,407050.3438,409684.75
2018010109,407826.7188,410864.9063,403138.7813,415583.75,404863.25,404995.0313,407896.5313,407410.0625,408320.6875,410167,403692.4688,412884.0313,409567.2813,409567.2813,409748.375,409746.375,408749.25,402912.4375,406610.125,409500.3438,411063.8438,404413.0938,403714.125,404035.5938,411907.5313,404558,406964.4063,408740.4375,403714.0313,410204.3438,411885.1563,409660.3438,409968.0313,407700.0313,408776.5,412150.125,408285.9688,411066.625,410182.7813,410736.875,410884.25,410165.125,408964.0625,410937.0313,407576.5,409449.875,407756.0938,407415.8125,407675.4688,407040.3438,404463.125,409536.9375,410029.125,410153.5,411526.0313,403976.0313,404025.7188,411990.125,407555.8438,412391.2188,407386.25,404023.5625,412277.5313,409759.5938,405803.25,403693.125,409388.8125,409974.625,409417.8125,403683.9375,409888.8438,415583.75,413104.5625,412833.125,404286.2813,412455.1563,413128.0313,411944.1875,409332.5938,407048.7813,409688.3438
