ABP ,-12.76,-38.16,6,,ABP ,321.84 ,-12.76 ,0.01 ,61.153,-55 
ALT ,82.4508,-62.5072,195,,ALT ,297.49 ,82.45 ,0.01 ,227.33,-32 
AMS ,-37.95,77.53,153,,AMS ,77.53 ,-37.95 ,0.15 ,0.41656,153 
AMY ,36.5389,126.3295,125.12,,AMY ,126.33 ,36.54 ,0.01 ,192.56,-67 
AOC ,-9.95,-11.4,22,,AOC ,348.60 ,-9.95 ,0.02 ,0,22 
ASC ,-7.9667,-14.4,87,,ASC ,345.60 ,-7.97 ,0.09 ,0.2568,87 
ASK ,23.2625,5.6322,2715,,ASK ,5.63 ,23.26 ,1.66 ,1050.2,1665 
AVI ,17.75,-64.75,5,,AVI ,295.25 ,17.75 ,0.01 ,12.984,-8 
AZR ,38.75,-27.08,22,,AZR ,332.92 ,38.75 ,0.01 ,8.2706,14 
BAL ,55.5,16.67,28,,BAL ,16.67 ,55.50 ,0.03 ,2.3388,26 
BHD ,-41.4083,174.871,90,,BHD ,174.87 ,-41.41 ,0.03 ,62.217,28 
BKT ,-0.2,100.32,875,,BKT ,100.32 ,-0.20 ,0.62 ,258.04,617 
BME ,32.368,-64.6476,15,,BME ,295.35 ,32.37 ,0.01 ,2.59E-02,15 
BMW ,32.2647,-64.8788,60,,BMW ,295.12 ,32.26 ,0.06 ,2.59E-02,60 
BRW ,71.32,-156.6,13,,BRW ,203.40 ,71.32 ,0.01 ,0.51258,12 
BSC ,44.1776,28.6647,5,,BSC ,28.66 ,44.18 ,0.01 ,124.48,-119 
CBA ,55.2,-162.72,25,,CBA ,197.28 ,55.20 ,0.01 ,33.167,-8 
CGO ,-40.68,144.68,97,,CGO ,144.68 ,-40.68 ,0.09 ,8.0038,89 
CHR ,1.7,-157.1518,2,,CHR ,202.85 ,1.70 ,0.01 ,1.65E-02,2 
CIB ,41.81,-4.93,850,,CIB ,355.07 ,41.81 ,0.01 ,891.71,-42 
CMO ,45.478,-123.9689,33,,CMO ,236.03 ,45.48 ,0.01 ,24.683,8 
CPT ,-34.3523,18.4891,260,,CPT ,18.49 ,-34.35 ,0.24 ,15.623,244 
CRZ ,-46.4337,51.8478,202,,CRZ ,51.85 ,-46.43 ,0.20 ,1.953,200 
DRP ,-59.73,-44.35,10,,DRP ,315.65 ,-59.73 ,0.01 ,3.3868,7 
DSI ,20.6992,116.7297,8,,DSI ,116.73 ,20.70 ,0.01 ,1.57E-05,8 
EIC ,-27.15,-109.45,55,,EIC ,250.55 ,-27.15 ,0.05 ,0.24979,55 
GMI ,13.386,144.656,5,,GMI ,144.66 ,13.39 ,0.01 ,1.2741,4 
GOZ ,36.048,14.889,6,,GOZ ,14.89 ,36.05 ,0.01 ,11.024,-5 
HBA ,-75.56,-27.02,13,,HBA ,332.98 ,-75.56 ,0.01 ,257.88,-245 
HPB ,47.8011,11.0245,990,,HPB ,11.02 ,47.80 ,0.20 ,785.33,205 
HSU ,40.9833,-124.6,7.6,,HSU ,235.40 ,40.98 ,0.01 ,52.798,-45 
HUN ,46.95,16.65,344,,HUN ,16.65 ,46.95 ,0.18 ,168.48,176 
ICE ,63.3998,-20.2884,123,,ICE ,339.71 ,63.40 ,0.01 ,330.16,-207 
IZO ,28.3,-16.48,2377.9,,IZO ,343.52 ,28.30 ,2.34 ,41.964,2336 
KCO ,4.97,73.47,6,,KCO ,73.47 ,4.97 ,0.01 ,2.36E-03,6 
KEY ,25.67,-80.2,3,,KEY ,279.80 ,25.67 ,0.01 ,2.7553,0 
KUM ,19.52,-154.82,3,,KUM ,205.18 ,19.52 ,0.01 ,190.81,-188 
KZD ,44.45,75.57,412,,KZD ,75.57 ,44.45 ,0.01 ,665.38,-253 
KZM ,43.25,77.88,2524,,KZM ,77.88 ,43.25 ,1.53 ,990.77,1533 
LEF ,45.93,-90.27,868,,LEF ,269.73 ,45.93 ,0.46 ,403.67,464 
LLB ,54.95,-112.45,546.1,,LLB ,247.55 ,54.95 ,0.01 ,655.35,-109 
LLN ,23.46,120.86,2867,,LLN ,120.86 ,23.46 ,2.64 ,224.06,2643 
LMP ,35.51,12.61,50,,LMP ,12.61 ,35.51 ,0.05 ,1.3078,49 
MBC ,76.247,-119.3533,32,,MBC ,240.65 ,76.25 ,0.01 ,26.35,6 
MEX ,18.9841,-97.311,4469,,MEX ,262.69 ,18.98 ,2.89 ,1580.3,2889 
MHD ,53.33,-9.9,10,,MHD ,350.10 ,53.33 ,0.01 ,24.761,-15 
